subj,trial,block,date,stim,stim_order,response,rt,param_index,segment_time,pitch
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_16.wav,0,True,2563,0,0.0,141.243943
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_16.wav,0,True,2563,1,0.071043,-34.322435
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_16.wav,0,True,2563,2,0.142086,10.018864
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_16.wav,0,True,2563,3,0.213129,-24.066951
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_16.wav,0,True,2563,4,0.284172,45.502655
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_16.wav,0,True,2563,5,0.355215,107.276086
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_16.wav,0,True,2563,6,0.426259,58.11038
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_9.wav,1,False,2563,0,0.0,85.332288
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_9.wav,1,False,2563,1,0.071043,-113.94952
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_9.wav,1,False,2563,2,0.142086,22.84807
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_9.wav,1,False,2563,3,0.213129,-135.528843
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_9.wav,1,False,2563,4,0.284172,76.46033
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_9.wav,1,False,2563,5,0.355215,72.455461
Auregan,10,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_9.wav,1,False,2563,6,0.426259,-135.542556
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_115.wav,0,True,5889,0,0.0,-100.568741
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_115.wav,0,True,5889,1,0.071043,57.843647
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_115.wav,0,True,5889,2,0.142086,-30.946862
